ID,QUESTION,LEVEL,CORRECT ANSWER,EXPLANATION,OPTION A,OPTION B,OPTION C,OPTION D
65,"What is the process by which liquid water changes into water vapor, often due to heating?",22,Evaporation,"Evaporation is the process by which liquid water changes into water vapor, often due to heating.",Condensation,Evaporation,Precipitation,Sublimation
66,What is the name for a rapidly spinning column of air that reaches down from a thunderstorm to the ground?,22,Tornado,A tornado is the name for a rapidly spinning column of air that reaches down from a thunderstorm to the ground.,Tornado,Hurricane,Earthquake,Tsunami
67,What is the term for a type of malware that disguises itself as a legitimate program but is designed to cause harm to a computer or network?,23,Trojan horse,A Trojan horse is a type of malware that disguises itself as a legitimate program but is designed to cause harm to a computer or network.,Virus,Worm,Trojan horse,Adware
68,What is the name for the network of interconnected food chains in an ecosystem?,23,Food Web,The name for the network of interconnected food chains in an ecosystem is a food web.,Food Pyramid,Food Web,Trophic Level,Ecological Chain
69,"What is the basic unit of data in a computer system, typically consisting of 8 bits?",23,Byte,"A byte is the basic unit of data in a computer system, typically consisting of 8 bits.",Byte,Megabyte,Gigabyte,Kilobyte
70,What is the process by which an organism's offspring grow and develop over time to reach maturity?,24,Maturation,Maturation is the process by which an organism's offspring grow and develop over time to reach maturity.,Germination,Maturation,Fertilization,Reproduction
71,"Which planet in our solar system is known as the ""Blue Planet"" due to its abundant water?",24,Earth,"Earth is known as the ""Blue Planet"" due to its abundant water.",Mars,Venus,Earth,Uranus
72,"What type of rock is formed from the accumulation of small sediments over time, often in bodies of water?",24,Sedimentary,"Sedimentary rock is formed from the accumulation of small sediments over time, often in bodies of water.",Igneous,Metamorphic,Sedimentary,Basalt
73,What is the term for the process by which an organism gradually changes over generations due to genetic variation and natural selection?,25,Evolution,Evolution is the process by which an organism gradually changes over generations due to genetic variation and natural selection.,Adaption,Evolution,Hybridization,Cloning
74,What is the term for a set of rules that allow devices to communicate and exchange data over a network?,25,Protocol,Protocol is the term for a set of rules that allow devices to communicate and exchange data over a network.,Encryption,Protocol,Algorithm,Firewall
75,"What is the smallest unit of life that can carry out all the functions necessary for life, including reproduction?",25,Cell,"A Cell is the smallest unit of life that can carry out all the functions necessary for life, including reproduction.",Organ,Cell,Tissue,Organism
76,What is the term for a high-speed storage area used to temporarily hold data that is being frequently accessed or modified?,26,Cache,A Cache is a high-speed storage area used to temporarily hold data that is being frequently accessed or modified.,Database,Cache,RAM,ROM
77,"What is the name for a sudden, violent flow of water down a normally dry riverbed, often caused by heavy rain?",26,Flood,"Flood is the name for a sudden, violent flow of water down a normally dry riverbed, often caused by heavy rain.",Avalanche,Tsunami,Flood,Landslide
78,"What is the process by which rocks and soil are moved from one location to another by forces like wind, water, or ice?",26,Erosion,"Erosion is the process by which rocks and soil are moved from one location to another by forces like wind, water, or ice.",Erosion,Weathering,Deposition,Melting
79,What is the term for a software program that provides basic functionality and manages hardware resources for other software applications?,27,Operating system,An Operating system is a software program that provides basic functionality and manages hardware resources for other software applications.,Application software,Operating system,Utility software,Antivirus software
80,"What is the term for a naturally occurring solid substance with a specific chemical composition and a regular, repeating atomic structure?",27,Mineral,"A Mineral is a naturally occurring solid substance with a specific chemical composition and a regular, repeating atomic structure.",Mineral,Gemstone,Fossil,Ore
81,What is the term for a spacecraft that has been sent to explore the outer regions of the solar system and beyond?,27,Voyager,Voyager is a spacecraft that has been sent to explore the outer regions of the solar system and beyond.,Rover,Probe,Space telescope,Voyager
82,Which part of the human body is responsible for controlling and coordinating all bodily functions and activities?,28,Brain,The Brain is responsible for controlling and coordinating all bodily functions and activities.,Heart,Lungs,Brain,Liver
83,What gas is produced when an antacid tablet reacts with stomach acid to relieve indigestion?,28,Carbon dioxide,Carbon dioxide is the gas produced when an antacid tablet reacts with stomach acid to relieve indigestion.,Oxygen,Hydrogen,Carbon dioxide,Nitrogen
84,"Which dwarf planet, located in the Kuiper Belt, was formerly considered the ninth planet in our solar system?",28,Pluto,Pluto is the dwarf planet located in the Kuiper Belt that was formerly considered the ninth planet in our solar system.,Eris,Ceres,Pluto,Haumea
85,What is the term for a computer program or device that translates human-readable code into machine code that a computer can execute?,29,Compiler,A Compiler is the computer program or device that translates human-readable code into machine code that a computer can execute.,Compiler,Debugger,Interpreter,Operating system
86,What is the name for the process by which an animal changes its body temperature to match its environment?,29,Thermoregulation,Thermoregulation is the name for the process by which an animal changes its body temperature to match its environment.,Homeostasis,Thermoregulation,Hibernation,Metabolism
87,Which blood vessel carries oxygenated blood from the heart to the body's organs and tissues?,29,Artery,An Artery carries oxygenated blood from the heart to the body's organs and tissues.,Artery,Vein,Capillary,Aorta
88,"What is the name for the smallest unit of heredity in living organisms, containing the genetic instructions for traits?",30,Gene,"A Gene is the smallest unit of heredity in living organisms, containing the genetic instructions for traits.",Gene,Chromosome,DNA,Allele
89,"What is the term for a type of computer programming language that uses a graphical interface to create code, often used for educational purposes?",30,Scratch,"Scratch is a type of computer programming language that uses a graphical interface to create code, often used for educational purposes.",Python,C++,Scratch,Ruby
90,"What is the process by which a liquid turns into a solid, often due to cooling?",30,Freezing,"Freezing is the process by which a liquid turns into a solid, often due to cooling.",Freezing,Melting,Evaporation,Condensation
91,Which part of the human body is responsible for producing insulin and regulating blood sugar levels?,31,Pancreas,The Pancreas is responsible for producing insulin and regulating blood sugar levels.,Pancreas,Liver,Heart,Kidney
92,"What is the primary gas responsible for the greenhouse effect, trapping heat in Earth's atmosphere?",31,Carbon dioxide,"Carbon dioxide is the primary gas responsible for the greenhouse effect, trapping heat in Earth's atmosphere.",Oxygen,Nitrogen,Carbon dioxide,Hydrogen
93,What is the process by which an organism's body maintains a stable internal environment despite external changes?,31,Homeostasis,Homeostasis is the process by which an organism's body maintains a stable internal environment despite external changes.,Evolution,Adaptation,Homeostasis,Mutation
94,"What is the process by which a solid turns into a gas without first becoming a liquid, often due to heating?",32,Sublimation,"Sublimation is the process by which a solid turns into a gas without first becoming a liquid, often due to heating.",Evaporation,Sublimation,Melting,Condensation
95,What is the term for a set of instructions or rules that a computer follows to complete a specific task?,32,Algorithm,An Algorithm is the term for a set of instructions or rules that a computer follows to complete a specific task.,Hardware,Software,Algorithm,Firewall
96,What is the term for the movement of air caused by temperature differences in the atmosphere?,32,Wind,Wind is the movement of air caused by temperature differences in the atmosphere.,Wind,Breeze,Gust,Tornado
97,"What is the name for the outermost layer of skin, which acts as a protective barrier for the body?",33,Epidermis,"The Epidermis is the outermost layer of skin, which acts as a protective barrier for the body.",Dermis,Epidermis,Hypodermis,Hair follicle
98,"What is the term for a small, pre-built program that can be used to extend the functionality of larger software applications?",33,Plugin,"A Plugin is a small, pre-built program that can be used to extend the functionality of larger software applications.",Plugin,Application,Debugger,Operating system
99,Which part of the human body is responsible for pumping blood throughout the circulatory system?,33,Heart,The Heart is responsible for pumping blood throughout the circulatory system.,Kidneys,Heart,Lungs,Liver
100,What is the term for a computer program designed to search for and find information on the internet?,34,Search engine,A Search engine is a computer program designed to search for and find information on the internet.,Web browser,Search engine,Firewall,Email client
